Source,Target,Weight
메기,크리스,79
메기,애펄,77
애펄,크리스,77
감독,크리스,56
보이즈,사자,55
감독,메기,54
감독,애펄,47
출연,크리스,46
감독,출연,46
애펄,출연,45
메기,출연,45
아덴,크리스,44
아덴,출연,44
메기,아덴,44
감독,아덴,44
아덴,애펄,44
안효섭,크리스,43
감독,안효섭,43
아덴,안효섭,43
안효섭,애펄,42
메기,안효섭,42
안효섭,출연,42
루미,미라,40
미라,조이,36
루미,조이,35
가족,메기,31
가족,코미디,30
메기,코미디,30
아덴,유지영,29
코미디,크리스,29
메이,아덴,29
메이,유지영,29
가족,크리스,29
스토어,팝업,28
유지영,크리스,28
메기,메이,28
메기,유지영,28
감독,유지영,28
감독,메이,28
성수,팝업,28
개봉,애펄,28
애펄,유지영,28
안효섭,유지영,28
메이,크리스,28
메이,안효섭,28
메이,애펄,28
애펄,코미디,28
가족,애펄,28
유지영,출연,28
개봉,크리스,28
개봉,메기,28
메이,출연,28
김윤진,크리스,27
감독,김윤진,27
김윤진,아덴,27
세계,한국,27
김윤진,안효섭,27
김윤진,출연,27
김윤진,유지영,27
김윤진,메기,27
김윤진,메이,27
김윤진,애펄,27
문화,한국,26
개봉,안효섭,25
개봉,출연,25
개봉,아덴,25
감독,개봉,25
농심,콜라보,24
서울,팝업,23
드론,라이트,22
더피,호랑이,22
드론,한강,20
